task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
135	46/5be0f1	38322055	run_discovery_analysis_trans (120)	COMPLETED	0	2025-10-20 00:06:54.667	1h 24m 58s	1h 24m 52s	97.3%	910.4 MB	1.7 GB	43.7 MB	804.5 KB
221	4a/ad51ac	38322144	run_discovery_analysis_trans (206)	COMPLETED	0	2025-10-20 00:07:12.467	1h 24m 45s	1h 21m 37s	99.2%	906.3 MB	1.7 GB	44.2 MB	798.7 KB
331	28/b3bd89	38322250	run_discovery_analysis_trans (316)	COMPLETED	0	2025-10-20 00:07:33.668	1h 24m 24s	1h 24m 1s	99.0%	912.8 MB	1.7 GB	44.3 MB	771.1 KB
273	ac/6cb526	38322193	run_discovery_analysis_trans (258)	COMPLETED	0	2025-10-20 00:07:22.269	1h 24m 40s	1h 24m 34s	95.4%	911.9 MB	1.7 GB	46.3 MB	819.8 KB
74	0d/7d1dcc	38321993	run_discovery_analysis_trans (59)	COMPLETED	0	2025-10-20 00:06:42.672	1h 25m 20s	1h 25m 13s	95.8%	909.8 MB	1.9 GB	44.5 MB	824.8 KB
196	74/d87e41	38322122	run_discovery_analysis_trans (181)	COMPLETED	0	2025-10-20 00:07:08.071	1h 24m 59s	1h 24m 53s	99.1%	908.5 MB	1.7 GB	44.9 MB	820.9 KB
212	ba/f65159	38322132	run_discovery_analysis_trans (197)	COMPLETED	0	2025-10-20 00:07:10.072	1h 24m 57s	1h 24m 50s	99.0%	913.8 MB	1.7 GB	43.4 MB	792.2 KB
199	81/686e93	38322126	run_discovery_analysis_trans (184)	COMPLETED	0	2025-10-20 00:07:08.869	1h 24m 58s	1h 24m 47s	94.6%	904.2 MB	1.7 GB	44.1 MB	784.8 KB
220	59/bce9c9	38322141	run_discovery_analysis_trans (205)	COMPLETED	0	2025-10-20 00:07:11.867	1h 25m 5s	1h 23m 57s	95.2%	906.1 MB	1.7 GB	43.3 MB	760.9 KB
226	36/cc3eba	38322148	run_discovery_analysis_trans (211)	COMPLETED	0	2025-10-20 00:07:13.272	1h 25m 4s	1h 24m 40s	97.2%	915.8 MB	1.7 GB	45 MB	824.3 KB
232	c8/1dd88c	38322153	run_discovery_analysis_trans (217)	COMPLETED	0	2025-10-20 00:07:14.269	1h 25m 3s	1h 19m 31s	96.8%	-	-	144.3 MB	2 MB
289	c1/8fab59	38322212	run_discovery_analysis_trans (274)	COMPLETED	0	2025-10-20 00:07:26.069	1h 24m 51s	1h 22m 34s	99.0%	912.8 MB	1.7 GB	44.7 MB	776 KB
210	3f/537310	38322131	run_discovery_analysis_trans (195)	COMPLETED	0	2025-10-20 00:07:09.869	1h 25m 12s	1h 25m 8s	98.9%	914.8 MB	1.7 GB	45.1 MB	819.6 KB
